Key,Time(s),Type
g,1.1319,down
g,1.2034,up
f,1.7049,down
f,1.8036,up
g,1.8458,down
g,1.9177,up
f,1.9510,down
f,2.0209,up
g,2.0370,down
g,2.1108,up
f,2.1439,down
f,2.1925,up
g,2.2215,down
g,2.2862,up
f,2.2983,down
f,2.3537,up
g,2.3920,down
g,2.4549,up
f,2.4830,down
f,2.5386,up
g,2.5547,down
g,2.6171,up
f,2.6524,down
f,2.7100,up
g,2.7239,down
g,2.7978,up
f,2.8320,down
f,2.8881,up
g,2.8962,down
g,2.9705,up
f,3.0018,down
f,3.0617,up
g,3.0677,down
g,3.1690,up
f,3.1840,down
f,3.3012,up
g,3.3052,down
g,3.3831,up
f,3.3931,down
f,3.4654,up
g,3.4919,down
f,3.5583,down
g,3.5703,up
f,3.6339,up
g,3.6620,down
g,3.7358,up
f,3.7388,down
f,3.8002,up
g,3.8335,down
f,3.8858,down
g,3.8979,up
f,3.9712,up
g,3.9863,down
g,4.0783,up
t,6.3757,down
t,6.5325,up
e,6.5798,down
e,6.6646,up
s,6.7951,down
s,6.9033,up
t,6.9758,down
t,7.0832,up
t,8.4939,down
e,8.6694,down
s,8.8670,down
s,9.3665,down
s,9.3995,down
s,9.4328,down
s,9.4658,down
s,9.4988,down
s,9.5320,down
s,9.5642,down
s,9.5974,down
s,9.6306,down
s,9.6507,up
e,9.7038,up
t,9.7058,up
t,10.674,down
