Key,Time,Type
k,0.9111,down
k,0.9941,up
j,1.4225,down
j,1.5007,up
j,1.6234,down
j,1.6886,up
j,1.7884,down
j,1.8538,up
j,1.9412,down
j,1.9923,up
j,2.0907,down
j,2.1468,up
j,2.2481,down
j,2.3002,up
j,2.3923,down
j,2.4436,up
j,2.5196,down
j,2.5818,up
j,2.6752,down
j,2.7437,up
j,2.8432,down
j,2.9357,up
g,3.6476,down
g,3.7079,up
f,3.7700,down
g,3.7750,down
g,3.7950,up
f,3.8240,up
g,3.8520,down
g,3.9180,up
f,3.9420,down
f,4.0072,up
g,4.0272,down
g,4.1034,up
t,4.6648,down
t,4.7864,up
r,4.8547,down
r,5.0624,up
