Key,Time,Type
d,0.4779,down
d,0.5610,up
f,1.1043,down
f,1.1721,up
e,1.9633,down
e,2.0363,up
d,2.5326,down
d,2.6236,up
q,2.9454,down
q,3.0567,up
s,3.2865,down
s,3.3926,up
z,3.7237,down
z,3.8584,up
d,4.1510,down
d,4.2644,up
e,4.5568,down
e,4.6864,up
f,4.9900,down
f,5.1509,up
r,5.4670,down
r,5.5878,up
r,5.7936,down
r,5.8881,up
r,6.1946,down
r,6.3161,up
r,6.5634,down
r,6.6970,up
g,6.9823,down
g,7.0961,up
g,7.3744,down
g,7.4717,up
g,7.7633,down
g,7.8911,up
g,8.1354,down
g,8.2804,up
f,8.5079,down
f,8.6728,up
f,8.9214,down
f,9.0821,up
f,9.3039,down
f,9.4915,up
f,9.7007,down
f,9.8923,up
d,10.084,down
