Key,Time,Type,Scan code
a,1.432,down,16
a,1.501,up,16
a,1.585,down,16
a,1.656,up,16
a,1.740,down,16
a,1.803,up,16
a,1.885,down,16
a,1.952,up,16
a,2.030,down,16
a,2.089,up,16
a,2.169,down,16
a,2.231,up,16
a,2.312,down,16
a,2.383,up,16
a,2.460,down,16
a,2.518,up,16
a,2.604,down,16
a,2.664,up,16
a,2.752,down,16
a,2.809,up,16
a,2.877,down,16
a,2.947,up,16
a,3.020,down,16
a,3.087,up,16
a,3.156,down,16
a,3.222,up,16
a,3.297,down,16
a,3.362,up,16
a,3.437,down,16
a,3.505,up,16
a,3.573,down,16
a,3.643,up,16
a,3.716,down,16
a,3.780,up,16
a,3.871,down,16
a,3.923,up,16
a,4.009,down,16
a,4.078,up,16
a,4.156,down,16
a,4.224,up,16
a,4.312,down,16
a,4.378,up,16
a,4.447,down,16
a,4.523,up,16
a,4.599,down,16
a,4.678,up,16
a,4.751,down,16
a,4.828,up,16
a,4.907,down,16
a,4.988,up,16
a,5.053,down,16
